[2020-04-19 17:28:43] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:28:44] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:28:44] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1378375936]
[2020-04-19 17:28:44] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1369983232]
[2020-04-19 17:29:34] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:29:35] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:29:35] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[695445248]
[2020-04-19 17:29:35] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[687052544]
[2020-04-19 17:31:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:31:12] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:31:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1322711296]
[2020-04-19 17:31:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1331104000]
[2020-04-19 17:32:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:32:27] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:32:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[493868800]
[2020-04-19 17:32:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[485476096]
[2020-04-19 17:32:59] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:33:00] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:33:00] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1551898880]
[2020-04-19 17:33:00] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1560291584]
[2020-04-19 17:33:31] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:33:32] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:33:32] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1325389568]
[2020-04-19 17:33:32] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1316996864]
[2020-04-19 17:34:44] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:34:45] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:34:45] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-314964224]
[2020-04-19 17:34:45] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-323356928]
[2020-04-19 17:35:37] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:35:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:35:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-83896576]
[2020-04-19 17:35:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-75503872]
[2020-04-19 17:36:00] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:36:01] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:36:01] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1300248832]
[2020-04-19 17:36:01] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1308641536]
[2020-04-19 17:36:13] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:36:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:36:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1560291584]
[2020-04-19 17:36:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1568684288]
[2020-04-19 17:41:05] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:41:06] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:41:06] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[939521792]
[2020-04-19 17:41:06] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[931129088]
[2020-04-19 17:42:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:42:15] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-19 17:42:15] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1254705408]
[2020-04-19 17:42:15] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1246312704]
[2020-04-19 17:43:08] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-19 17:43:09] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
