[2020-04-19 17:28:43] |      DriverLayer.cpp-L0552: device speed: [4]
[2020-04-19 17:28:44] |    DeviceControl.cpp-L1437: AcquisitionStart Execute Success 
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-04-19 17:28:44] |    StreamProcess.cpp-L1471: delete one DataNode
